year,date,median,low,high
2020,2020-04-24,2.0,0,8.0
2020,2020-04-25,1.0,0,8.0
2020,2020-04-26,1.0,0,6.0
2020,2020-04-27,1.0,0,7.0
2020,2020-04-28,2.0,0,9.0
2020,2020-04-29,2.0,0,8.0
2020,2020-04-30,1.0,0,7.0
2020,2020-05-01,2.0,0,9.0
2020,2020-05-02,2.0,0,10.0
2020,2020-05-03,1.0,0,7.0
2020,2020-05-04,2.0,0,9.0
2020,2020-05-05,2.0,0,9.0
2020,2020-05-06,2.0,0,8.0
2020,2020-05-07,2.0,0,9.0
2020,2020-05-08,2.0,0,9.0
2020,2020-05-09,1.0,0,8.0
2020,2020-05-10,1.0,0,7.0
2020,2020-05-11,2.0,0,8.0
2020,2020-05-12,2.0,0,9.0
2020,2020-05-13,2.0,0,9.0
2020,2020-05-14,2.0,0,9.0
2020,2020-05-15,2.0,0,10.0
2020,2020-05-16,2.0,0,9.0
2020,2020-05-17,1.0,0,7.0
2020,2020-05-18,2.0,0,9.0
2020,2020-05-19,2.0,0,9.0
2020,2020-05-20,2.0,0,9.0
2020,2020-05-21,2.0,0,9.0
2020,2020-05-22,2.0,0,10.0
2020,2020-05-23,1.0,0,7.0
2020,2020-05-24,1.0,0,7.0
2020,2020-05-25,2.0,0,8.0
2020,2020-05-26,2.0,0,9.0
2020,2020-05-27,2.0,0,10.0
2020,2020-05-28,2.0,0,9.0
2020,2020-05-29,2.0,0,10.0
2020,2020-05-30,2.0,0,10.0
2020,2020-05-31,2.0,0,9.0
2020,2020-06-01,2.0,0,10.0
2020,2020-06-02,2.0,0,9.0
2020,2020-06-03,2.0,0,9.0
2020,2020-06-04,2.0,0,10.0
2020,2020-06-05,2.0,0,10.0
2020,2020-06-06,2.0,0,10.0
2020,2020-06-07,2.0,0,9.0
2020,2020-06-08,3.0,0,11.0
2020,2020-06-09,3.0,0,11.0
2020,2020-06-10,3.0,0,11.0
2020,2020-06-11,3.0,0,11.0
2020,2020-06-12,3.0,0,12.0
2020,2020-06-13,2.0,0,10.0
2020,2020-06-14,2.0,0,9.0
2020,2020-06-15,3.0,0,11.0
2020,2020-06-16,3.0,0,11.0
2020,2020-06-17,3.0,0,11.0
2020,2020-06-18,3.0,0,11.0
2020,2020-06-19,3.0,0,12.0
2020,2020-06-20,2.0,0,11.0
2020,2020-06-21,2.0,0,9.0
2020,2020-06-22,3.0,0,11.0
2020,2020-06-23,3.0,0,12.0
2020,2020-06-24,3.0,0,12.0
2020,2020-06-25,3.0,0,12.0
2020,2020-06-26,4.0,0,14.0
2020,2020-06-27,2.0,0,10.0
2020,2020-06-28,2.0,0,9.0
2020,2020-06-29,3.0,0,12.0
2020,2020-06-30,3.0,0,12.0
2020,2020-07-01,3.0,0,12.0
2020,2020-07-02,3.0,0,12.0
2020,2020-07-03,2.0,0,11.0
2020,2020-07-04,2.0,0,9.0
2020,2020-07-05,2.0,0,9.0
2020,2020-07-06,3.0,0,11.0
2020,2020-07-07,3.0,0,12.0
2020,2020-07-08,3.0,0,11.0
2020,2020-07-09,3.0,0,12.0
2020,2020-07-10,3.0,0,10.0
2020,2020-07-11,2.0,0,10.0
2020,2020-07-12,2.0,0,9.0
2020,2020-07-13,3.0,0,12.0
2020,2020-07-14,3.0,0,12.0
2020,2020-07-15,4.0,0,13.0
2020,2020-07-16,3.0,0,12.0
2020,2020-07-17,4.0,0,13.0
2020,2020-07-18,3.0,0,11.0
2020,2020-07-19,2.0,0,9.0
2020,2020-07-20,3.0,0,11.0
2020,2020-07-21,3.0,0,12.0
2020,2020-07-22,3.0,0,12.0
2020,2020-07-23,4.0,0,13.0
